year,cpt_hcpcs,work_rvu,pe_rvu_facility,pe_rvu_nonfacility,mp_rvu,status_indicator,global_days
2026,24366,9.13,8.04,8.04,1.85,A,090
2026,24370,22.96,13.65,13.65,4.61,A,090
2026,24371,26.81,14.88,14.88,5.36,A,090
2026,24400,11.05,9.81,9.81,2.34,A,090
2026,24410,14.73,11.39,11.39,3.13,A,090
2026,24420,13.39,13.75,13.75,2.85,A,090
2026,24430,14.87,11.10,11.10,3.06,A,090
2026,24435,14.62,12.39,12.39,3.05,A,090
2026,24470,8.71,8.56,8.56,1.85,A,090
2026,24495,8.20,17.20,17.20,1.74,A,090
2026,24498,11.97,9.53,9.53,2.52,A,090
2026,24500,3.32,6.42,8.41,0.70,A,090
2026,24505,5.26,7.73,10.98,1.19,A,090
2026,24515,11.82,10.33,10.33,2.47,A,090
2026,24516,11.89,9.49,9.49,2.50,A,090
2026,24530,3.60,6.41,8.65,0.75,A,090
2026,24535,6.93,8.51,12.26,1.47,A,090
2026,24538,9.53,10.94,10.94,2.04,A,090
2026,24545,12.82,10.27,10.27,2.67,A,090
2026,24546,14.54,11.01,11.01,3.00,A,090
2026,24560,2.91,6.05,8.17,0.62,A,090
2026,24565,5.64,7.74,11.16,1.21,A,090
2026,24566,8.83,9.97,9.97,1.88,A,090
2026,24575,9.47,9.39,9.39,1.94,A,090
2026,24576,2.98,6.49,8.65,0.64,A,090
2026,24577,5.86,7.81,11.39,1.25,A,090
2026,24579,11.15,9.91,9.91,2.30,A,090
2026,24582,9.89,11.45,11.45,2.10,A,090
2026,24586,15.39,11.09,11.09,3.14,A,090
2026,24587,15.40,11.25,11.25,3.27,A,090
2026,24600,4.26,6.76,8.99,1.02,A,090
2026,24605,5.50,7.65,7.65,1.20,A,090
2026,24615,9.58,8.36,8.36,1.96,A,090
2026,24620,7.04,8.47,8.47,1.49,A,090
2026,24635,8.58,8.84,8.84,1.74,A,090
2026,24640,1.22,0.85,1.83,0.07,A,010
2026,24650,2.25,5.04,6.33,0.45,A,090
2026,24655,4.50,7.70,10.42,1.03,A,090
2026,24665,8.15,8.84,8.84,1.64,A,090
2026,24666,9.61,8.95,8.95,1.95,A,090
2026,24670,2.62,5.27,6.92,0.54,A,090
2026,24675,4.79,6.88,9.67,1.01,A,090
2026,24685,8.16,8.80,8.80,1.67,A,090
2026,24800,11.12,9.89,9.89,2.37,A,090
2026,24802,13.96,10.80,10.80,2.98,A,090
2026,24900,9.93,9.52,9.52,2.11,A,090
2026,24920,9.88,8.59,8.59,2.10,A,090
2026,24925,7.12,7.71,7.71,1.50,A,090
2026,24930,10.56,8.81,8.81,2.25,A,090
2026,24931,13.10,9.81,9.81,2.78,A,090
2026,24935,16.04,14.60,14.60,3.41,A,090
2026,24940,0.00,0.00,0.00,0.00,C,090
2026,24999,0.00,0.00,0.00,0.00,C,YYY
2026,25000,3.46,6.07,6.07,0.66,A,090
2026,25001,3.70,5.83,5.83,0.69,A,090
