cpt_hcpcs,modifier_1,modifier_2,age_from,age_thru,age_units,nonfacility_total_rvus_or_base_units,nonfacility_conversion_factor,nonfacility_allowed_amount,nonfacility_effective_start,facility_total_rvus_or_base_units,facility_conversion_factor,facility_allowed_amount,facility_effective_start,note_code_1,note_code_2,note_code_3,last_pricing_review_date,tos,tos_desc,source_code,source_description
00400,,,21,999,Years,3.00,24.3200,0.00,2017-11-01,3.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00402,,,0,20,Years,,,,,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00402,,,0,20,Years,,,,,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00402,,,21,999,Years,,,,,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00404,,,0,20,Years,,,,,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00404,,,0,20,Years,,,,,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00404,,,21,999,Years,,,,,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00406,,,0,20,Years,,,,,13.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00406,,,0,20,Years,,,,,13.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00406,,,21,999,Years,,,,,13.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00410,,,0,20,Years,4.00,34.0000,0.00,2019-03-01,4.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00410,,,0,20,Years,4.00,25.6000,0.00,2017-11-01,4.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00410,,,21,999,Years,4.00,24.3200,0.00,2017-11-01,4.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00450,,,0,20,Years,5.00,34.0000,0.00,2019-03-01,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00450,,,0,20,Years,5.00,25.6000,0.00,2017-11-01,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00450,,,21,999,Years,5.00,24.3200,0.00,2017-11-01,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00454,,,0,20,Years,3.00,34.0000,0.00,2019-03-01,3.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00454,,,0,20,Years,3.00,25.6000,0.00,2017-11-01,3.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
